温度层别,厚度层别,长度层别,宽度上限,宽度下限,钢种层别,,,初始辊速,加速度,水量1,水量2,水量3,水量4,水比1,水比2,水比3,水比4,边腔水比1,边腔水比2,边腔水比3,边腔水比4,初始冷却时间,C水量下限,C水量上限
4,1,2,4100,1000,0,,,1.9,0.012,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,15,65,75
4,2,2,4100,1000,0,,,1.9,0.01,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,15,65,75
4,3,2,4100,1000,0,,,1.7,0.009,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,15,65,75
4,4,2,4100,1000,0,,,1.7,0.008,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,15,65,75
4,5,2,4100,1000,0,,,1.6,0.007,70,70,70,70,1.8,1.8,1.8,1.8,0.35,0.35,0.35,0.35,15,65,75
4,6,2,4100,1000,0,,,1.5,0.006,70,70,70,70,1.8,1.8,1.8,1.8,0.35,0.35,0.35,0.35,15,65,75
4,7,2,4100,1000,0,,,1.4,0.005,80,80,80,80,1.8,1.8,1.8,1.8,0.35,0.35,0.35,0.35,1,75,85
4,8,2,4100,1000,0,,,1.4,0.004,80,80,80,80,1.9,1.9,1.9,1.9,0.35,0.35,0.35,0.35,1.8,75,85
4,9,2,4100,1000,0,,,1.3,0.003,80,80,80,80,1.9,1.9,1.9,1.9,0.35,0.35,0.35,0.35,3.3,75,85
4,10,2,4100,1000,0,,,1.3,0.003,80,80,80,80,2,2,2,2,0.35,0.35,0.35,0.35,11.5,75,85
4,11,2,4100,1000,0,,,1.3,0.003,80,80,80,80,2,2,2,2,0.35,0.35,0.35,0.35,12,75,85
4,12,2,4100,1000,0,,,1.2,0.002,90,90,90,90,2.1,2.1,2.1,2.1,0.35,0.35,0.35,0.35,15,85,95
4,13,2,4100,1000,0,,,1.2,0.002,90,90,90,90,2.1,2.1,2.1,2.1,0.35,0.35,0.35,0.35,15,85,95
4,14,2,4100,1000,0,,,1.1,0,100,100,100,100,2.3,2.3,2.3,2.3,0.35,0.35,0.35,0.35,15,95,105
4,15,2,4100,1000,0,,,0.9,0,100,100,100,100,2.4,2.4,2.4,2.4,0.35,0.35,0.35,0.35,15,95,105
